,row_id,name,price,url,24h_%,7d%,Market_Cap,Volume(24h),Volume(2),Circulating_Supply
51,51,HT,$10.76,https://coinmarketcap.com/currencies/huobi-token/,+27.33%,,"$1,805,591,510","$281,715,288","26,189,614 HT","167,856,506 HT"
52,52,HBAR,$0.1962,https://coinmarketcap.com/currencies/hedera-hashgraph/,+0.05%,+15.77%,"$1,794,348,478","$174,186,176","887,745,519 HBAR","9,144,955,479 HBAR"
53,53,TFUEL,$0.326,https://coinmarketcap.com/currencies/theta-fuel/,+17.42%,,"$1,728,342,209","$75,200,655","230,657,327 TFUEL","5,301,214,400 TFUEL"
54,54,WAVES,$15.47,https://coinmarketcap.com/currencies/waves/,+3.37%,+21.68%,"$1,635,974,288","$257,530,297","16,647,355 WAVES","105,753,166 WAVES"
55,55,EGLD,$84.61,https://coinmarketcap.com/currencies/elrond-egld/,+10.55%,,"$1,624,851,564","$49,549,822","585,635 EGLD","19,204,318 EGLD"
56,56,KSM,$185.20,https://coinmarketcap.com/currencies/kusama/,+0.73%,+7.01%,"$1,568,653,177","$116,444,565","628,754 KSM","8,470,098 KSM"
57,57,DASH,$151.43,https://coinmarketcap.com/currencies/dash/,+4.36%,+8.96%,"$1,552,990,921","$362,737,341","2,395,463 DASH","10,255,718 DASH"
58,58,CHZ,$0.2494,https://coinmarketcap.com/currencies/chiliz/,+10.95%,,"$1,469,899,534","$188,623,151","756,334,769 CHZ","5,893,953,727 CHZ"
59,59,XEM,$0.1593,https://coinmarketcap.com/currencies/nem/,+0.24%,+14.93%,"$1,433,626,239","$132,802,786","833,707,586 XEM","8,999,999,999 XEM"
60,60,CEL,$5.94,https://coinmarketcap.com/currencies/celsius/,+12.77%,,"$1,417,966,555","$10,320,372","1,738,518 CEL","238,863,520 CEL"
61,61,STX,$1.11,https://coinmarketcap.com/currencies/stacks/,+11.28%,,"$1,317,822,024","$26,021,016","23,387,109 STX","1,184,429,025 STX"
62,62,ZEC,$105.05,https://coinmarketcap.com/currencies/zcash/,+2.66%,+10.49%,"$1,292,884,471","$231,208,428","2,200,910 ZEC","12,307,175 ZEC"
63,63,TUSD,$0.9999,https://coinmarketcap.com/currencies/trueusd/,+0.00%,,"$1,239,549,594","$90,832,202","90,843,721 TUSD","1,239,706,800 TUSD"
64,64,QNT,$98.48,https://coinmarketcap.com/currencies/quant/,+5.27%,+34.13%,"$1,188,961,226","$19,747,611","200,518 QNT","12,072,738 QNT"
65,65,HNT,$12.82,https://coinmarketcap.com/currencies/helium/,+12.08%,+18.37%,"$1,183,391,564","$27,637,895","2,155,168 HNT","92,279,353 HNT"
66,66,MANA,$0.6854,https://coinmarketcap.com/currencies/decentraland/,+15.35%,,"$1,158,838,661","$141,468,735","206,391,988 MANA","1,690,656,345 MANA"
67,67,ENJ,$1.33,https://coinmarketcap.com/currencies/enjin-coin/,+20.24%,,"$1,106,757,204","$156,576,746","118,035,692 ENJ","834,331,121 ENJ"
68,68,YFI,"$29,701.39",https://coinmarketcap.com/currencies/yearn-finance/,+1.28%,+5.00%,"$1,088,123,417","$188,617,005","6,350 YFI","36,635 YFI"
69,69,RUNE,$4.63,https://coinmarketcap.com/currencies/thorchain/,+15.61%,+9.30%,"$1,083,679,721","$151,417,155","32,732,440 RUNE","234,263,293 RUNE"
70,70,HOT,$0.006179,https://coinmarketcap.com/currencies/holo/,+29.21%,,"$1,066,900,858","$119,646,273","19,364,296,308 HOT","172,673,864,848 HOT"
71,71,OKB,$17.63,https://coinmarketcap.com/currencies/okb/,+57.51%,,"$1,058,041,420","$677,324,162","38,410,074 OKB","60,000,000 OKB"
72,72,SNX,$9.02,https://coinmarketcap.com/currencies/synthetix-network-token/,+7.12%,,"$1,036,390,027","$92,935,845","10,298,145 SNX","114,841,533 SNX"
